using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |4608297|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |214|SPY |-434|SAZ |14430|PHI |-653|THETA |164|PSI |-569|Battery | 574|
Time |4708765|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-18|SAX |216|SPY |-438|SAZ |14386|PHI |-658|THETA |165|PSI |-587|Battery | 581|
Time |4809289|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |232|SPY |-456|SAZ |14386|PHI |-661|THETA |166|PSI |-606|Battery | 560|
Time |4909783|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |230|SPY |-438|SAZ |14388|PHI |-665|THETA |167|PSI |-624|Battery | 581|
Time |5010278|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |220|SPY |-438|SAZ |14382|PHI |-668|THETA |167|PSI |-642|Battery | 581|
Time |5110760|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-16|SAX |246|SPY |-436|SAZ |14372|PHI |-672|THETA |168|PSI |-660|Battery | 560|
Time |5211308|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |206|SPY |-430|SAZ |14394|PHI |-675|THETA |168|PSI |-678|Battery | 574|
Time |5311991|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |208|SPY |-434|SAZ |14390|PHI |-677|THETA |169|PSI |-696|Battery | 581|
Time |5412247|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |230|SPY |-450|SAZ |14362|PHI |-680|THETA |169|PSI |-714|Battery | 560|
Time |5512792|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |200|SPY |-432|SAZ |14400|PHI |-683|THETA |169|PSI |-732|Battery | 574|
Time |5613315|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |236|SPY |-438|SAZ |14366|PHI |-685|THETA |170|PSI |-751|Battery | 581|
Time |5713795|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |222|SPY |-430|SAZ |14368|PHI |-687|THETA |170|PSI |-769|Battery | 560|
Time |5814761|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |240|SPY |-444|SAZ |14394|PHI |-690|THETA |171|PSI |-787|Battery | 574|
Time |5914792|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-3|SR |-17|SAX |228|SPY |-444|SAZ |14342|PHI |-692|THETA |172|PSI |-805|Battery | 581|
Time |6015315|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |240|SPY |-434|SAZ |14362|PHI |-694|THETA |172|PSI |-823|Battery | 560|
Time |6115801|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |238|SPY |-430|SAZ |14388|PHI |-696|THETA |173|PSI |-841|Battery | 581|
Time |6216275|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-1|SR |-17|SAX |222|SPY |-426|SAZ |14364|PHI |-698|THETA |173|PSI |-859|Battery | 581|
Time |6316817|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-18|SAX |214|SPY |-440|SAZ |14372|PHI |-700|THETA |174|PSI |-878|Battery | 560|
Time |6417387|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |226|SPY |-442|SAZ |14376|PHI |-701|THETA |175|PSI |-896|Battery | 574|
Time |6517807|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |212|SPY |-440|SAZ |14376|PHI |-703|THETA |175|PSI |-914|Battery | 581|
Time |6618292|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |226|SPY |-442|SAZ |14380|PHI |-704|THETA |175|PSI |-933|Battery | 560|
Time |6718816|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-25|SQ |-3|SR |-17|SAX |238|SPY |-432|SAZ |14376|PHI |-705|THETA |176|PSI |-951|Battery | 574|
Time |6819381|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |216|SPY |-442|SAZ |14372|PHI |-707|THETA |177|PSI |-969|Battery | 581|
Time |6919801|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-1|SR |-17|SAX |222|SPY |-454|SAZ |14386|PHI |-708|THETA |177|PSI |-987|Battery | 560|
Time |7020296|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-26|SQ |-3|SR |-17|SAX |234|SPY |-426|SAZ |14368|PHI |-710|THETA |178|PSI |-1006|Battery | 574|
