using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
timeout detected, sending mode as 1
Time |4707860|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |578|SPY |-414|SAZ |14366|PHI |-688|THETA |397|PSI |-709|Battery | 581|
Time |4808385|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |584|SPY |-416|SAZ |14376|PHI |-691|THETA |400|PSI |-728|Battery | 560|
Time |4908848|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |570|SPY |-420|SAZ |14406|PHI |-695|THETA |402|PSI |-747|Battery | 574|
Time |5010094|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |576|SPY |-384|SAZ |14372|PHI |-699|THETA |404|PSI |-765|Battery | 581|
Time |5110100|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-28|SQ |-1|SR |-17|SAX |586|SPY |-398|SAZ |14374|PHI |-702|THETA |405|PSI |-784|Battery | 560|
Time |5210324|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |564|SPY |-406|SAZ |14348|PHI |-705|THETA |406|PSI |-803|Battery | 574|
Time |5310852|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |572|SPY |-408|SAZ |14364|PHI |-708|THETA |408|PSI |-822|Battery | 581|
Time |5411297|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |560|SPY |-418|SAZ |14412|PHI |-710|THETA |409|PSI |-841|Battery | 560|
Time |5511774|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |584|SPY |-394|SAZ |14418|PHI |-712|THETA |411|PSI |-859|Battery | 581|
Time |5612327|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |586|SPY |-390|SAZ |14352|PHI |-715|THETA |413|PSI |-878|Battery | 581|
Time |5712785|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |572|SPY |-404|SAZ |14364|PHI |-717|THETA |414|PSI |-897|Battery | 560|
Time |5813285|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |568|SPY |-432|SAZ |14394|PHI |-720|THETA |415|PSI |-916|Battery | 574|
Time |5913772|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |596|SPY |-390|SAZ |14380|PHI |-722|THETA |417|PSI |-935|Battery | 581|
Time |6014998|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |582|SPY |-392|SAZ |14366|PHI |-724|THETA |418|PSI |-954|Battery | 560|
Time |6115024|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |568|SPY |-410|SAZ |14382|PHI |-726|THETA |419|PSI |-972|Battery | 581|
Time |6215238|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |564|SPY |-432|SAZ |14384|PHI |-727|THETA |420|PSI |-991|Battery | 581|
Time |6315724|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-18|SAX |574|SPY |-426|SAZ |14390|PHI |-729|THETA |421|PSI |-1010|Battery | 560|
Time |6416243|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |554|SPY |-418|SAZ |14412|PHI |-731|THETA |422|PSI |-1029|Battery | 574|
Time |6516688|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |566|SPY |-412|SAZ |14410|PHI |-733|THETA |423|PSI |-1048|Battery | 581|
Time |6617169|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |614|SPY |-398|SAZ |14402|PHI |-734|THETA |423|PSI |-1067|Battery | 560|
Time |6717663|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |562|SPY |-400|SAZ |14396|PHI |-735|THETA |424|PSI |-1086|Battery | 574|
Time |6818915|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-3|SR |-17|SAX |556|SPY |-430|SAZ |14386|PHI |-736|THETA |425|PSI |-1105|Battery | 581|
Time |6918952|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |564|SPY |-410|SAZ |14390|PHI |-737|THETA |425|PSI |-1124|Battery | 560|
Time |7019117|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-29|SQ |-1|SR |-17|SAX |564|SPY |-390|SAZ |14408|PHI |-738|THETA |426|PSI |-1143|Battery | 574|
