 43766133, -10953, -6534
 43816193, -10692, -8787
 43866342, -6320, -8760
 43916463, -859, -5780
 43966523, 3137, -1949
 44016530, 6327, 1505
 44066790, 8901, 4670
 44116878, 11478, 7618
 44166999, 10249, 9382
 44217013, 3415, 8017
 44267283, -2598, 3548
 44317287, -5124, -282
 44367376, -8633, -3856
 44417667, -9087, -6493
 44467681, -8700, -7784
 44517686, -6079, -7570
 44568010, -2483, -5854
 44618021, 951, -3198
 44668234, 3555, -280
 44718437, 4104, 1882
 44768449, 4325, 3003
 44818455, 3882, 3657
 44868567, 2398, 3273
 44918862, 1756, 2625
 44969078, 1579, 2088
 45019086, 1351, 1810
 45069097, 1572, 2440
 45119164, -1644, 828
 45169335, -3381, -1103
 45219402, -3655, -2398
 45269742, -1561, -2324
 45319753, -517, -1746
 45369836, 519, -826
 45419871, 585, -156
 45470021, -448, -6
 45520113, -910, -436
 45570452, -593, -577
 45620464, -151, -508
 45670518, -495, -390
 45720919, -486, -476
 45770927, 221, -284
 45820934, 69, -56
 45870966, -190, -101
 45921318, -210, -211
 45971430, 228, -98
 46021442, -152, 3
 46071643, -215, -159
 46121782, 10, -148
 46171882, 10, -90
 46221994, -88, -77
 46272137, -237, -158
 46322266, 99, -117
 46372355, 43, -9
 46422476, -18, -49
 46472485, -42, -49
 46522540, -68, -86
 46572715, -40, -88
 46622976, -3, -85
 46673118, -70, -63
 46723129, -23, -97
 46773241, -57, -77
 46823251, -70, -70
 46873454, -35, -86
 46923518, -47, -86
 46973697, 0, -66
 47023862, -44, -70
 47074294, 16, -54
 47124306, -52, -54
 47174316, -100, -107
 47224342, 31, -75
 47274548, -5, -59
 47324556, -74, -67
 47374806, 24, -70
 47424816, 5, -56
 47475020, -53, -61
 47525331, 63, -21
 47575349, -111, -46
 47625490, -95, -101
 47675502, 34, -59
 47725643, -55, -41
 47775754, -74, -77
 47825852, 14, -48
 47875862, -46, -68
 47926170, -48, -68
 47976286, 29, -42
 48026433, -96, -83
 48076491, 31, -65
 48126587, -94, -64
 48176758, -18, -83
 48226878, -42, -83
 48276889, -54, -83
 48327150, -5, -78
 48377173, -22, -78
 48427489, -39, -89
 48477502, -31, -71
 48527588, -24, -71
 48577714, -51, -71
 48627854, -27, -71
 48677981, -42, -72
 48727996, -50, -72
 48778289, -47, -72
 48828469, -63, -83
 48879134, -35, -98
 48929247, -86, -98
 48979430, -74, -98
 49029518, -22, -98
 49079886, -125, -92
 49129899, -91, -125
 49180043, -46, -123
 49230164, -305, -159
 49280310, -687, -309
 49330493, -140, -468
 49380537, 872, 18
 49430552, 400, 324
 49480811, -129, 202
 49530898, 558, 95
 49581018, 668, 474
 49631161, -173, 240
 49681166, -1485, -297
 49731401, -2796, -1328
 49781412, -2, -1672
 49831700, 1880, -78
 49881715, 3137, 1153
 49931852, 648, 1619
 49981860, -4926, -548
 50031916, -6107, -3376
 50082030, -3664, -4147
 50132374, 775, -2851
 50182382, 1708, -347
 50232389, 828, 134
 50282764, 2989, 1324
 50332798, 5786, 2845
 50382784, 5974, 4663
 50433151, 2838, 4283
 50483156, 3249, 3634
 50533167, 3790, 3589
 50583220, 3713, 3640
 50633540, 2047, 3262
 50683714, 1437, 2278
 50733798, 1260, 1744
 50784023, -494, 955
 50834692, 62, 247
 50885012, -197, 80
 50935096, 470, 173
 50985267, 315, 200
 51035309, 526, 367
 51085481, -1401, -98
 51135491, -836, -821
 51185722, -1437, -983
 51236112, 476, -742
 51286974, -214, -277
 51336981, -206, -325
 51387125, -445, -412
 51437137, -1104, -576
 51487283, -618, -735
 51537317, -1119, -821
 51587549, -299, -849
 51637662, -68, -415
 51687754, -358, -338
 51737768, -1296, -479
 51787795, -2577, -1628
 51838172, -838, -1719
 51888187, 516, -843
 51938435, -349, -358
 51988498, 1399, -131
 52038691, -1604, 24
 52088708, -3448, -1789
 52138882, -1453, -2029
 52188897, -2254, -1800
 52239346, -3934, -2562
 52289365, -4766, -3684
 52339498, -2708, -3645
 52390098, -2119, -2942
 52440500, -1337, -2278
 52490564, -169, -1479
 52540738, -474, -826
 52590822, -566, -888
 52640942, 1053, -248
 52691152, 394, 210
 52741375, 313, 252
 52791388, 933, 429
 52841625, 990, 781
 52891634, -17, 669
 52942338, 225, 336
 52992427, 748, 396
 53042659, 20, 330
 53092993, 110, 58
 53143551, 207, 104
 53193976, 125, 64
 53243985, -234, 13
 53294218, 358, 58
 53344364, 259, 298
 53394476, 9, 82
 53444602, 831, 234
 53494825, -526, 186
 53545163, 508, -73
 53595638, 1175, 365
 53645807, 1003, 703
 53695901, 99, 838
 53746050, -1089, 100
 53796135, -3748, -1317
 53846313, -4521, -2933
 53896656, -2358, -3126
 53946698, -1275, -2461
 53996711, 615, -1270
 54046823, 1234, -130
 54096845, 880, 457
 54147032, 134, 676
