using /dev/input/js0

Terminal program - Embedded Real-Time Systems
Type ^C to exit
Time |5310977|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-71|SQ |375|SR |50|SAX |-266|SPY |-18|SAZ |14998|PHI |-323|THETA |-729|PSI |1621|Battery | 581|
Time |5410991|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |64|SQ |11|SR |47|SAX |-426|SPY |-590|SAZ |14530|PHI |-428|THETA |-798|PSI |1719|Battery | 560|
Time |5511370|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |151|SQ |-94|SR |11|SAX |-24|SPY |266|SAZ |13324|PHI |-253|THETA |-679|PSI |1771|Battery | 574|
Time |5611874|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-211|SQ |-29|SR |-54|SAX |-520|SPY |-174|SAZ |14236|PHI |-252|THETA |-450|PSI |1791|Battery | 581|
Time |5712393|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-68|SQ |-82|SR |3|SAX |-318|SPY |-460|SAZ |14594|PHI |-368|THETA |-318|PSI |1767|Battery | 560|
Time |5812850|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-139|SQ |57|SR |-13|SAX |-358|SPY |-128|SAZ |14926|PHI |-433|THETA |-336|PSI |1741|Battery | 574|
Time |5913325|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-12|SQ |94|SR |-79|SAX |-524|SPY |-552|SAZ |14578|PHI |-491|THETA |-420|PSI |1692|Battery | 581|
Time |6013868|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |123|SQ |185|SR |-82|SAX |-370|SPY |-322|SAZ |14512|PHI |-433|THETA |-561|PSI |1595|Battery | 560|
Time |6114379|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |2232|SQ |-244|SR |-372|SAX |-722|SPY |928|SAZ |21092|PHI |558|THETA |-664|PSI |1402|Battery | 581|
Time |6215083|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |2738|SQ |-814|SR |726|SAX |-952|SPY |3596|SAZ |10374|PHI |3845|THETA |-158|PSI |1246|Battery | 581|
Time |6315484|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |447|SQ |-522|SR |343|SAX |2670|SPY |9754|SAZ |6580|PHI |5771|THETA |680|PSI |1537|Battery | 560|
Time |6416025|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-3004|SQ |1148|SR |-770|SAX |538|SPY |7950|SAZ |13192|PHI |4316|THETA |405|PSI |1574|Battery | 581|
Time |6516447|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-5890|SQ |426|SR |-366|SAX |646|SPY |-4352|SAZ |12966|PHI |-844|THETA |-526|PSI |1175|Battery | 581|
Time |6616972|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-3151|SQ |69|SR |-899|SAX |-86|SPY |-8910|SAZ |17826|PHI |-6395|THETA |-605|PSI |232|Battery | 560|
Time |6717487|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |1038|SQ |209|SR |35|SAX |-3728|SPY |-11910|SAZ |13202|PHI |-7191|THETA |-431|PSI |-368|Battery | 574|
Time |6817817|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |4215|SQ |-1326|SR |114|SAX |-802|SPY |-9494|SAZ |16126|PHI |-4105|THETA |-58|PSI |-135|Battery | 581|
Time |6918350|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |2009|SQ |-187|SR |441|SAX |1262|SPY |-568|SAZ |11788|PHI |-206|THETA |881|PSI |379|Battery | 560|
Time |7018871|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |489|SQ |331|SR |-175|SAX |2040|SPY |5228|SAZ |13078|PHI |1142|THETA |651|PSI |624|Battery | 574|
Time |7119343|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-929|SQ |637|SR |-370|SAX |104|SPY |2286|SAZ |8972|PHI |1225|THETA |172|PSI |323|Battery | 581|
Time |7219979|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-360|SQ |492|SR |-91|SAX |-3532|SPY |-610|SAZ |15194|PHI |228|THETA |-609|PSI |88|Battery | 560|
Time |7320322|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-1546|SQ |-3143|SR |1686|SAX |4290|SPY |-3826|SAZ |32767|PHI |-180|THETA |-399|PSI |354|Battery | 574|
Time |7420813|Mode |0|Motors |  0 |   0 |   0 |   0|P |0|P1 |0| P2 |0|SP |-396|SQ |-32|SR |-498|SAX |1450|SPY |1802|SAZ |13514|PHI |-20|THETA |151|PSI |430|Battery | 581|
